Unnamed: 0,file_name,folder_name,submissions,weight,text
6924,5-26-20 Lieu.pdf,Comments Received After Field Review,1,1.7363341326710127e-05,"From: Carina V Lieu
Sent: Tuesday, May 26, 2020 10:40 AM
To: [emails redacted]
Cc: Ethnic Studies; Superintendent; [emails redacted]
Subject: [EXTERNAL] Letters of Support to Save Ethnic Studies @ OUSD!
Dear Directors Eng and Yee,
My family and I lived in District 4 for 20, and I now live in District 2. I write to thanks Director Eng
for carrying this resolution and ask Director Yee for your support of the Ethnic Studies Model
Curriculum Draft written by teachers and scholars from across California. Your support would
mean the world to me.
As a OUSD alumni (go Titans!) and Ethnic Studies major at UC Berkeley, I have never seen an
adequate representation of the narratives of people of color in our textbooks, despite the
enormous diversity of the community we live in. In fact, I joined a committee in high school to
make history textbook selections but I did not learn any of my own history as a Southeast Asian
American until I attended Cal. Once I did, I felt more empowered to use my voice to speak up
for my community. Please support the proposed School Board resolution to prevent the
censorship and removal of Arab American, Pacific Islander and Central American Studies from
the California Ethnic Studies Model Curriculum.
I first learned about Middle Eastern history by taking a Democratic Education (DeCal) at UC
Berkeley in 2003. In that course, another student taught me about the reason for the conflict in
Afghanistan and that led to me have a deeper appreciation and understanding of the Middle
East. Preserving Arab American Studies is important to me because I am certain it would
promote dialogue for a community that is highly marginalized in the larger media landscape,
increase solidarity, and create a more just society.
The current attacks on Ethnic Studies and Arab American Studies are completely unjust and
racist, and Oakland should not stand for them.
This resolution is moving a step for social justice. From the bottom of my heart:
Please vote YES on May 27th to support this!
We are counting on you!

Carina V. Lieu, MUP

Yoga | Education | Policy | Community Organizing

"
1870,8-11-19 Galicot.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"From: Jan Galicot Sent: Sunday, August 11, 2019 2:26 PM To: Ethnic Studies Subject: Very worried about change in curriculum

Dear Educators and Administrators,

Attached is my feedback on the proposed ethnic studies curriculum. By way of this email and the attached, I am respectfully asking you to modify the proposed curriculum in a number of important ways.

To remove all references, in particular positive references, to the antisemitic BDS campaign, which is a campaign that targets only one state in the world for destruction, the one Jewish state, Israel. It is an intentional and uniquely evil and divisive campaign, whose self-described purpose is to de-legitimize and ultimately destroy the only democratic state in the Middle East, the only state in the Middle East where all citizens regardless of ethnicity, faith, gender or sexual preference have full and equal civil rights. The only state in the Middle East that has not known one second of non-democratic rule, despite also not knowing one second of peace.

To include additional information that will present a balanced perspective (in stark contrast to the onesided perspective offered in this proposed curriculum) about both Israel and the Arab-Israeli conflict.

To add important information about antisemitism and the bigotry/hatred that Jews face both as individuals and as a collective, including with respect to the growing demonization of the Jewish movement for self-determination and sovereignty in their indigenous homeland (known as Zionism). I have raised three children in CA and have one teenager left in a CA public high school.

It is my strong view that feel that the failures in this curriculum will create a highly charged, negative environment that will make Jewish children who understand their history and identity feel targeted and perhaps even unsafe in the growing antisemitic environment we are seeing today in America, including sadly on many high school and college campuses.

Thank you in advance for considering this feedback.

Yours, Jan Galicot



"
3283,8-2-19 Lee.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"From: Craig Lee Sent: Thursday, August 1, 2019 7:45 PM To: Ethnic Studies Subject: California curriculum

Good Morning,

This is very scary. Capitalism is what America is built on. This curriculum clearly supports Communism or Socialism. Is it sponsored by the UN? Very SCARY stuff. I have a lot of family in California and I have already started to contact them. Who proposed this?

Very concerned and frightened citizen,

Craig Lee



"
1593,8-13-20 Ghajarrahimi.pdf,Comments Received After Field Review,1,1.7363341326710127e-05,"From: Anahita Ghajarrahimi Sent: Thursday, August 13, 2020 2:21 PM To: [emails redacted]; Superintendent; Ethnic Studies Subject: [EXTERNAL] Include Arab American Studies in CA Ethnic Studies Curriculum

To whom it may concern:

As an educator I cannot serve my students while thinking that some of my students' voices and backgrounds have been erased in this curriculum. It's never been clearer how important Ethnic Studies is especially during this political moment that we are living in. The racial disparities in the impact of Covid-19, the xenophobic targeting of Asian Americans as ""vectors"" of disease, and the national uprising in response to the murder of George Floyd point to the need for antiracist education:

All students need Ethnic Studies in their K-12 curriculum to build empathy, unity and solidarity with each other, strengthening our movements for justice. The ESMC is structured around the core pillars developed by the founders of Ethnic Studies in 1969: American Indian studies, Africana/Black studies, Chicanx/Latinx studies, and Asian American studies. Following a decades-long tradition in higher education, the ESMC includes Arab American studies within Asian American studies. Leading Asian American scholars, including the National Association of Asian American studies, have issued statements defending the inclusion of Arab American studies in the CA ESMC. Ethnic Studies has been linked to increases in positive personal, academic, and social outcomes for students.

In the post-9/11 era, exacerbated by Trump's Muslim ban, Arab American students are desperately in need of curriculum that reflects their histories and current realities. TURATH (Teaching Understanding and Representing Arabs Throughout History) is a 2020 report researched and written by the teenage members of Arab Youth Organizing (AYO). According to AYO's findings, more than 66% of the students surveyed said they received most of their information on Arabs and/or Muslims from the internet or television; only 2.3% learned about Arabs and/or Muslims at school.

We need a curriculum that reflects ALL of our students and I demand that Arab Americans studies in its entirety be included in the Ethnic Studies curriculum.

Best regards,

Anahita Ghajarrahimi Graduate Student at UC Berkeley Masters of Education '21 Teaching Credential in English '21 -Anahita Ghajarrahimi (she/her/hers)



"
4032,8-8-19 Lavie.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"Public Input Template�2020 Ethnic Studies Model Curriculum May 2019 Draft

(Download and use to provide specific recommendations)



Include the chapter of the model curriculum, the page number, and line number(s) to ensure that the California Department of Education and Instructional Quality Commission can reference the content of the document when reviewing your comments. Please email this document as a Word document to ethnicstudies@cde.ca.gov. You may contact Kenneth McDonald, Education Programs Consultant, at kmcdonal@cde.ca.gov with any questions regarding this template or the public input process.



Chapter of Model Curriculum



Your Name and Affiliation



Comment (include page and line numbers where applicable)



General



Liron Lavie



The Proposed Curriculum is Severely Flawed and Unfit for Use

The proposed Ethnic Studies Curriculum, developed by the California Department of Education, is deeply flawed and unfit for use. As outlined below, these flaws include the pervasive use of material falsehoods, misrepresentations, and the exclusion of necessary facts and foundational information. It is apparent that the authors' bear a predatory purpose: to systematically facilitate the development of anti-Israel perspectives among impressionable students.

This matter is particularly insulting and outrageous given that California's Jewish and Israeli-American communities have gone to great lengths to make the truth readily accessible to our broader community. Indeed, the pool of instructive resources and relationships at the disposal of educational administrators and state policymakers is vast. Any objective observer of the proposed curriculum can readily gather its systematic employment of demonization, delegitimization and double standards � each of which can indicate anti-Semitism. Sadly, even the mere proposition of this curriculum brings into doubt the intellectual standards and moral character of many who are involved in California's educational system.

In November 2005, the U.S. Commission on Civil Rights recognized that anti-Israel sentiment can cross the line into anti-Semitism, and in the Commission's words, ""should be distinguished from legitimate discourse regarding foreign policy."" The Commission clearly stated: ""Anti-Semitic bigotry is no less morally deplorable when camouflaged as anti-Israelism or anti-Zionism."" The Commission specifically called on educational administrators to publicly speak out and ""set a moral example by denouncing anti-



General



Public Input Template�2020 Ethnic Studies Model Curriculum Page 2 of 9

Semitic and other hate speech, while safeguarding all rights protected under the First Amendment and under basic principles of academic freedom."" The U.S. Department of Education's Office on Civil Rights has made the same recommendation to educational administrators.

In March 2008, the U.S. State Department issued a detailed report on anti-Semitism globally, recognizing that anti-Zionist sentiment and criticism of Israel can cross the line into anti-Jewish bigotry. Whether intended or not, such sentiment and criticism can have the effect of promoting prejudice against Jews. As an example, the State Department noted that demonizing Israel and/or Israelis ""as barbaric, unprincipled, selfish, inhumane, etc. is anti-Semitic and has the effect of causing audiences to associate those bad attributes with Jews in general."" This type of anti-Semitism is no less hurtful or harmful than more traditional forms of anti-Jewish bigotry.

Basic decency demands that the California Department of Education write a new curriculum that is objective, factually correct, apolitical, and grounded in the values of tolerance and respect for all.

The Proposed Curriculum Promotes National-Origin Based Discrimination and Would Make California Party to Anti-Semitic Hatred (Page 2, Lines 30-40) Among the most disturbing aspects of the proposed curriculum is its promotion of the Boycott, Divestment, and Sanction Movement (BDS). BDS is the formal name given to the economic and political warfare component of a campaign being waged against the world's one and only Jewish country - attacking virtually every aspect of its historic, legal, political, economic and cultural life - with the aim of undermining the sovereignty, security and legitimacy of Israel's very existence. More specifically, BDS refers to the tactics employed to discriminate against Israelis, Jews, their trade partners and supporters. BDS promotes discrimination against Israel on the basis of national origin.

It is a thoroughly documented fact that in the course of promoting discrimination against Israel, the BDS Movement purposefully uses misinformation and baseless claims, as well as classic anti-Semitic themes, such as the suggestion of Jewish subversion, conspiracy, disloyalty, greed and economic control, and most importantly, blood libels. The overwhelming presence of such falsehoods dispenses with any need to consider the threshold where legitimate criticism of the Israel crosses the line into anti-Semitism. The BDS Movement's messaging strategy not only seeks to promote negative perceptions of Israel, but also bigoted perspectives aimed at the state's Jewish character and supporters. The State of California must not be made party to anti-Semitic hatred.



General



Public Input Template�2020 Ethnic Studies Model Curriculum Page 3 of 9

The Proposed Curriculum Poses a Material Threat to the Safety and Civil Rights of Pro-Israel, Jewish and Israeli-American Students

Boycotts of entities and individuals of specific countries often amount to ethnic, religious, racial and nationality discrimination. History repeatedly shows that when boycotts and bigoted propaganda are aimed at Jewish persons in particular, it eventually gives way to severe anti-Semitic discrimination, and ultimately to violent persecution. It is no coincidence that all current research data indisputably shows that Jews are among the most likely of all minority groups to be victimized in incidents motivated by hate, particularly within educational institutions.

The attempt of the proposed curriculum to promote national-origin discrimination efforts against Israel directly contradicts the public policy of our federal government and the state of California, and the essential values of our community. If implemented, the curriculum would quickly lead to an environment of fear, intimidation and harassment for pro-Israel and Jewish students, particularly Israeli-Americans.



General



Public Input Template�2020 Ethnic Studies Model Curriculum Page 4 of 9

Jews and Israeli-Americans Were Intentionally Excluded from the Proposed Curriculum

Despite being an ethnic studies curriculum meant to objectively focus on American minorities, the American-Jewish community has been entirely excluded. Given the many obvious points of Jewish communal contribution throughout the history of the United States, as well as the high-profile nature of anti-Semitic attacks that have recently taken place in Poway and elsewhere, it is obvious that this omission was not merely due to an insensitive oversight, but rather disturbingly, was intentional.

As stated by the California DOE, ""the curriculum is written for educators or community members seeking guidance in developing a local high school ethnic studies program that reflects the pupil demographics in their communities"". Per the most recent U.S. Census estimates, there are roughly 8,000,000 to 10,000,000 Americans that identify as Jewish which is 1.7% -2.6% of the total U.S. Population. There are also almost 250,000 Israeli-Americans in California. It is unacceptable that this curriculum includes no representation of Jewish and Israeli-American identity whatsoever.

In general, the Jewish people are a distinct group bearing a variety of religious, ethnic and cultural characteristics. Likewise, they collectively possess a unique and relevant history, cultural practices, traditions, and have made key contributions to American society. American Jews and Israeli-Americans possess a unique immigrant experience, tracing back to the American Colonial period and extending through more recent waves of arrival. This includes those who fled the Holocaust and persecution, as well as others who have come to make unique contributions to America. Despite facing discrimination, Jews and Israeli-Americans have nevertheless come to exemplify important aspects of the merits to be found in America's overall values, and have made many impressive contributions to society. To invalidate Jewish and Israeli-Americans by excluding their worthwhile narratives would teach the wrong lessons to students.

If anything, now is a time to enhance students' understanding and overall sensitivity toward the Jewish community. A report issued by the Anti-Defamation League detailed a shocking 67% increase in incidents from 2016 to 2017. A 2015 Brandeis Center-Trinity College study found that most Jewish-American college students had personally experienced or witnessed anti-Semitism. An AMCHA Initiative survey found a 45% increase in anti-Semitic activity on college and university campuses between 2015 and 2016. Given that anti-Semitic incidents are increasing at an alarming rate in the United States, it is outrageous that the proposed curriculum would nevertheless seek to instead promote the anti-Semitic BDS Movement, which has been widely condemned for its anti-Semitic nature.



Glossary Glossary



Public Input Template�2020 Ethnic Studies Model Curriculum Page 5 of 9

The Proposed Curriculum Contradicts Public Policy and Would Immediately Compromise the Integrity and Reputation of California's Educational System

As previously explained, BDS promotes discrimination against Israel on the basis of national origin. Nevertheless, in the glossary of the curriculum, the Boycott, Divestment, and Sanctions Movement is misleadingly defined as a positive social movement seeking ""freedom"" (Page 2, Lines 30-40). Teachers promoting this perspective would not only be misinforming students regarding the BDS Movement's harmful objectives, they would also be encouraging them to join in the perspective and discriminatory efforts of a thoroughly documented anti-Semitic hate group.

Twenty-seven (27) U.S. states, including California, have passed legislation and/or official policy resolutions against BDS activity. In fact, just weeks ago congressional Republicans and Democrats overwhelmingly united to pass a resolution condemning BDS. BDS discrimination is not just morally unwelcome in America, but has furthermore been rejected as a matter of clear-eyed public policy. Adoption of the proposed curriculum would immediately compromise the integrity and overall reputation of California's public educational system.

The Proposed Curriculum Demonizes Israel with the Lie of Apartheid

In promoting the BDS Movement, the proposed curriculum's glossary engages the canard that Israel is an ""apartheid"" state (Page 2, Lines 31). The aim of this demonizing lie is to portray Israel as evil, malicious or lacking in morality. A simple review of the facts reveals the stunning impropriety of applying this term to Israel. In Israel, all citizens regardless of ethnicity or religion can hold public office. Arab citizens, who make up 20% of the Israeli population, are fully represented in the Knesset, have become judges seated on the supreme court, and serve as ministers of important government ministries. Despite the misrepresentations of the BDS Movement, Isaeli-Arabs, Druze, Jews, and others live, work, and socialize together in a diverse society. Furthermore, 99% of non-citizen Arabs who reside in Israeli-controlled territories live autonomously under the full civil administration of the Palestinian Authority, not the Israeli government.

The truth is that Israel is the only country in its region that maintains a climate of respect for the civil liberties of all its citizens, offers a significant independent civic life even for non-citizens, and safeguards important basic rights such as freedom of speech, freedom of religion and freedom of the press. Indeed, Israel's respect for civil liberties and basic rights like freedom of speech, religion and the press, mirrors the founding principles of the United States; Just as Americans value their freedoms and fight to maintain them, Israelis hold them as a badge of honor and go to great lengths to uphold them.



Chapter 2: Sample Course

Models Introduction to Ethnic Studies Course Outline

Chapter 2: Sample Course

Models Introduction to Ethnic Studies Course Outline

Chapter 2: Sample Course Models African American Studies Course Outline



Public Input Template�2020 Ethnic Studies Model Curriculum Page 6 of 9

The Proposed Curriculum Uses an Anti-Israel Double Standard to suggest BDS is a Liberation Movement

When explaining the concept of ""liberation"", the proposed curriculum legitimizes BDS by presenting it as an exemplary movement (Page 10, Lines 248-250). According to Omar Barghouti, who is widely considered the founding father of the BDS Movement, the objective is to end the Jewish nation's selfdetermination and sovereignty in Israel and replace it with a state in which Jews would be demographically diluted into a minority. Seeking to dispossess an indigenous nation of its self-determination in its ancestral homeland is not a liberation movement, nor does the proposed curriculum apply the suggestion to any country other than Israel.

The Proposed Curriculum Delegitimizes Other Social Movements by Equivocating them with BDS

Included in a list of potential social movements for teachers to review in class, BDS is equivocated with LGBTQ rights and climate change (Page 35, Lines 676-684). This ignores the widespread understanding of BDS as discriminatory and anti-Semitic in nature. The effect is to whitewash BDS as an indisputably legitimate organization, while inherently detracting from the legitimacy of other movements.

In fact, a recently released report called Terrorists in Suits extensively details the material connections between those that head and finance the BDS Movement and designated terrorist entities. Anti-Israel terrorist groups such as Hamas and the Popular Front for the Liberation of Palestine were involved in the formation of BDS and continue to manage BDS activity worldwide by proxy.

The Proposed Curriculum Gives Credence to the Anti-Semitic Nation of Islam

Listed among sample topic for discussion, the curriculum mentions African American Spiritual and Religious Traditions (Page 48, Lines 969-970). One particular group highlighted is the ""National of Islam"" [sic], likely referring to the ""Nation of Islam"" (NOI). NOI is led by Louis Farrakhan, a notorious anti-Semite who has referred to Jews as ""termites"", called Judaism a ""gutter religion"", and claimed that Jews and Zionists took part in the 9/11 terrorist attacks. It is unacceptable for an organization led by such an unabashed bigot to be legitimized in the classroom.



Chapter 2: Sample Course Arab American Studies Course Outline

Chapter 2: Sample Course Arab American Studies Course Outline



Public Input Template�2020 Ethnic Studies Model Curriculum Page 7 of 9

The Proposed Curriculum Equivocates Israel with Historic American Injustices

In a section on suggested topics of discussion, the proposed curriculum makes a problematic attempt to suggest equivalence between issues faced in Israel's region and those of the United States (Page 234, Lines 4956-4958). Specifically, equivocating the situation between Palestinian-Arabs and Israel with that of the United States and African-American citizens or immigration concerns is a false comparison aimed at manipulating negative perceptions and hostility among unsuspecting audiences. The effect of this dangerous misrepresentation will be to demonize Israeli-American peers and could result in the targeting of Jewish and pro-Israel students by those with strong feelings on BLM and immigration.

The Proposed Curriculum Teaches students that Factual Integrity and Objectivity Do Not Matter

The bias of the proposed curriculum is particularly evident in its use of highly-charged language that inherently promotes a negative perception of Israel (Page 236, Line 4992; Page 237, Lines 5030-5031; Page 241, Line 5138; Page 242, Lines 5158-5161). This bias is consistent with the Palestinian-Arab ""Nakba"" propaganda narrative, which seeks to falsely present Palestinians as victims of forced ""dispossession"" rather than willing participants in a war aimed at Israel's destruction. Students deserve to receive the facts of history with integrity and objectivity intact, free from one-sided revisionism and corrupting biases.



Chapter 2: Sample Course Arab American Studies Course Outline - Somos Sur

Chapter 2: Sample Course Arab American Studies Course Outline



Public Input Template�2020 Ethnic Studies Model Curriculum Page 8 of 9

Rap Song Demonizing Israel and Zionism (Pages 264-270, Lines 5692 - 5829)

As part of the ""hip-hop as Resistance"" chapter in the proposed curriculum, students are exposed to a song called ""Somos Sur"". The chorus of this song calls for the removal of ""Yankees"" from Palestine, inherently suggesting that Jews are colonialist invaders. The song then continues to accuse Israel of stealing land, unjustly imprisoning people, and demolishing homes. There is no legitimate basis for such demonizing lies to be presented to impressionable students.

Furthermore, the song ""Somos Sur"" was written by Shadia Mansour, an extremist whose other songs deliver messages accusing Israel of terrorism, demonizing the essentially Jewish concept of Zionism, accusing Zionists of territorial and cultural thievery, and calling for the defeat of Zionism. After instructing school children sing along to a propaganda song calling to ""free Palestine"", the lesson then tells students to create their own songs using ""facts"" learned from the curriculum. The glorification of this song and its writer would have the effect of demonizing and degrading Jewish and Israeli-American students and would result in a climate of fear, harassment and intimidation.

The Proposed Curriculum Glorifies Anti-Semitic Figures as Role Models

The curriculum glorifies several problematic figures as role models for children. The most concerning is Linda Sarsour (Page 235, Line 4970). Linda Sarsour has consistently expressed hatred for Jews and the State of Israel and works toward the political tolerance of such hateful views. Sarsour once even expressed support for sexual violence against a woman.

Sarsour has actively tried to delegitimize the connection between Jews and Israel. In October of 2012, Sarsour tweeted out ""Nothing is creepier than Zionism"". Recently, she claimed that Jesus was Palestinian, a gross example of historical delegitimization. Of course, Linda Sarsour also strongly advocates for the anti-Semitic BDS Movement while downplaying incidents of hate and violence against Jewish persons.

Regarding feminism, Sarsour has charged that Zionist-feminist women are not true feminists, in an effort to dispossessing them of their identities. Even worse, she joked about the removal of the genitals of a prominent feminist who had been the victim of FGM. Furthermore, Sarsour associates with open antiSemites and known terrorists. Linda Sarsour is an ally of Louis Farrakhan, and publicly embraced deported terrorist, Rasmea Odeh.



Public Input Template�2020 Ethnic Studies Model Curriculum Page 9 of 9

A person who embraces terrorists, stands with anti-semites, jokes about FGM, downplays anti-Semitic victimization, and support BDS discrimination is not a fit role model for California's students.

California Department of Education, June 2019



"
5097,8-8-19 Namvar.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"From: Ilana Namvar Sent: Thursday, August 8, 2019 3:27 PM To: Ethnic Studies Subject: Public Comment: Ethnic Studies Model Curriculum

Dear CA Department of Education Ethnic Studies Public Comment,

I am writing regarding California's Department of Education Instructional Quality Commission's proposed ethnic studies model curriculum.

As requested by your public comment form, I have concerns with the following content:

The glossary for the curriculum includes a definition of the Boycott, Divestment, and Sanctions (BDS) Movement against Israel. It claims the purpose of BDS is to, ""establish freedom for Palestinians living under apartheid conditions"".

It then parrots more BDS talking points while offering no critical perspectives about this campaign of hate, which seeks to end Israel's existence.

This definition is not only entirely one-sided but its inclusion elevates a fringe perspective against Israel into the mainstream and entirely politicizes the national origin of a major California community of Israeli-American immigrants. No other nation or national origin is subject to the same treatment in the model curriculum. Most disturbingly, the model curriculum's definition of BDS in its current form is akin to defining the Ku Klux Klan as a social movement that promotes free speech and free expression while ignoring the organization's racist underpinnings.

The sample lesson plans for the curriculum:

Encourage teachers to highlight BDS and a pro-BDS group called Direct Action for Palestine, but no voices critical of their perspectives (p. 234).

Promote a false equivalence between Israel's efforts to stop terrorists from entering communities to murder innocent people, and U.S. policies on the border with Mexico (p. 234).

Use unclear language that implies ""Israel-Palestine"" as a whole is an Arab country (p. 237).

Frame the Palestinian narrative of the 1948 War as fact, with no alternative perspectives (p. 242).

Encourage teachers to use a poem featuring harsh criticism of Israel, but no content offering a positive perspective about Israel or criticism of Palestinian leaders (p. 256, 264-269).



The Introduction of the proposed curriculum states that, ""The implementation of Ethnic Studies presents an opportunity for teachers to... enable students to develop a deep appreciation for cultural diversity and inclusion, and aids in the eradication of bigotry, hate, and racism."" Despite this stated goal, the curriculum does not feature a single lesson about the Jewish community, mentioning Jews only in passing. With antisemitism rising and ignorance about the Jewish people still a major problem in our society, the exclusion of Jews from this curriculum is deeply disappointing.

We respectfully request that the proposed ethnic studies curriculum take California's diverse communities and perspectives into account through a revision of the current model. Drawing from your own glossary, the ""master narrative"" advanced in the current model curriculum only serves to marginalize and disenfranchise California's immigrant population from Israel and this is not acceptable.

I also want to thank the California legislature, in particular, the California Legislative Jewish Caucus for their time and attention on this matter.

Regards, Ilana Namvar Los Angeles, CA



"
3105,8-9-19 Salles.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"Public Input Template�2020 Ethnic Studies Model Curriculum May 2019 Draft

(Download and use to provide specific recommendations)



Include the chapter of the model curriculum, the page number, and line number(s) to ensure that the California Department of Education and Instructional Quality Commission can reference the content of the document when reviewing your comments. Please email this document as a Word document to ethnicstudies@cde.ca.gov. You may contact Kenneth McDonald, Education Programs Consultant, at kmcdonal@cde.ca.gov with any questions regarding this template or the public input process.



Chapter of Model

Curriculum Chapter 2:

Sample Course Models

Pages 234, 237, 242, 256, and 264-269



Your Name and Affiliation

Richard Bennett Salles; I AM A HEBREWAMERICAN.



Comment (include page and line numbers where applicable)

PLEASE please remove BDS and other anti-Israel bias from the model curriculum. It only sounds/seems like Israelis are oppressors and occupiers when their situation is taken wildly out of context. Get real, their neighbors want them dead. They haven't been thru enough? They've got no_place else to go! The Arabs have 19 other countries to call home. If you hate Jews, own it and just say it; don't try to paint Israel as something other than ""Blessed life boat"" for the last remaining Jews on Earth (thank God).



Public Input Template�2020 Ethnic Studies Model Curriculum



Page 2 of 2



Chapter of Model

Curriculum Glossary and Bibliography

Page 2



Your Name and Affiliation

Richard Bennett Salles; I AM A HEBREWAMERICAN



Comment (include page and line numbers where applicable)

PLEASE please remove of BDS and other anti-Israel bias from the model curriculum. It only sounds/seems like Israelis are oppressors and occupiers when their situation is taken wildly out of context. Get real, their neighbors want them dead. They haven't been thru enough? They've got no_place else to go! The Arabs have 19 other countries to call home. If you hate Jews, own it and just say it; don't try to paint Israel as something other than ""Blessed life boat"" for the last remaining Jews on Earth (thank God).



California Department of Education, June 2019



"
493,12-18-20 Washington.pdf,Third Field Review (Dec 2020 - Jan 2021),1,9.05925371034926e-06,"From: Scott Washington Sent: Friday, December 18, 2020 10:18 AM To: Ethnic Studies Subject: [EXTERNAL] ESMC Third Field Review

My suggestion: drop it entirely.

Failing that, have them be integrated into our already useless english classes as a few lessons and then ignored entirely.

Only 40% of California students are proficient in math, and 50% in english, and you want to waste time with anti-White propaganda? I read the sample lessons and they're so biased that you might as well just call the field Victim Studies. There were also zero sections for various White ethnicities, but plenty for brown and black communities that California doesn't even have any of. The Hmong? Really? There are less than 100,000 of them in California. Less than 0.5% of the population. They get over a dozen pages of sample lessons. There are slightly over 500,000 koreans in California, or about 1% of the population. They get over 100 pages.

By contrast, do you know how many people of German descent there are in California? Over 8 million, they get zero pages.

How many Californian children can name important German figures from California's history? Can anyone on the board? Yet they're nearly a quarter of California's population.

At this rate, you might as well just retitle the entire thing Anti-White Grievance Propaganda. It's utterly pathetic and obviously put together by a non-White with a racist axe to grind.



"
10,11-18-20 Lazzouni.pdf,"Comments Received After September 30, 2020",1,7.981749489180817e-06,"From: Tehseen Lazzouni Sent: Wednesday, November 18, 2020 3:36 PM To: Ethnic Studies Subject: [EXTERNAL] Public Comment on Ethnic Studies Curriculum - 11/18/2020

Greetings! My name is Tehseen Usman Lazzouni and I live in San Diego. I'm a product of California public schools, and so are my children, who are Arab-Americans.

I'm calling to ask that the (1) Arab American lesson plan submitted to the CDE by members of the original ESMC advisory committee be re-inserted within Asian American studies where it belongs. I'm also asking that we (2) reject equating criticism of Israel with anti-semitism. We have a responsibility to teach our children about our world and about each other, and that means including Arab American studies. There have been so many stereotypes, prejudices and misinformation about this group. Relegating the Arab American lesson plan to the appendix does a disservice to all California students. It is only through education that ignorance can be overcome and we can have a world where diversity and respect prevail.

Sincerely, Tehseen Lazzouni



"
4319,8-15-19 Laffan.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"Public Input Template�2020 Ethnic Studies Model Curriculum May 2019 Draft

(Download and use to provide specific recommendations)



Include the chapter of the model curriculum, the page number, and line number(s) to ensure that the California Department of Education and Instructional Quality Commission can reference the content of the document when reviewing your comments. Please email this document as a Word document to ethnicstudies@cde.ca.gov. You may contact Kenneth McDonald, Education Programs Consultant, at kmcdonal@cde.ca.gov with any questions regarding this template or the public input process.



Chapter of Model

Curriculum General

General

General



Your Name and Affiliation



Comment (include page and line numbers where applicable)



Margaret Laffan Margaret Laffan Margaret Laffan



I support the inclusion of Arab American studies as part of the ethnic studies curriculum in California. As referenced on page 1, Arabs and Pacific Islanders are particularly marginalized communities that are not well represented in current course offerings.

I support the objectives listed on page 233 which clearly outline the benefits of teaching the diverse history of Arabs and Arab Americans as a way to challenge xenonophobia and discrimination and to create a welcoming environment for marginalized students. Including a history of migration to the US (page 236) is necessary for any marginalized community, and in particular for Arab Americans at this time. Teaching this history will help create a bridge between migrant communities and celebrate a rich history of a growing population.



California Department of Education, June 2019



"
