Unnamed: 0,file_name,folder_name,submissions,weight,text
2744,8-15-19 Kim 2.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"Public Input Template�2020 Ethnic Studies Model Curriculum May 2019 from Korean American Center



Include the chapter of the model curriculum, the page number, and line number(s) to ensure that the California Department of Education and Instructional Quality Commission can reference the content of the document when reviewing your comments. Please email this document as a Word document to ethnicstudies@cde.ca.gov. You may contact Kenneth McDonald, Education Programs Consultant, at kmcdonal@cde.ca.gov with any questions regarding this template or the public input process.



Chapter of Model

Curriculum



Your Name and Affiliation

Tammy Kim

Korean American Center/Korean Community Services



Comment (include page and line numbers where applicable)

Overall suggestion to include Korean American as part of the overall American Experience. With the first Korean to become a naturalized American Citizen, Phillip Jaison in 1890, the first married couple, Dosan Ahn Chang Ho and Helen Lee arrived in 1902, and the mass wave of immigrants arrived in 1903, Korean Americans have become a thriving part of this county's progress and prosperity, serving as a significant mediator for the strong economic, political, and cultural alliance between United States and Korea. The United States is home one of the largest diaspora of Koreans in the world.



United 5: Our Communities Page 14, Line

498



Page 14 487 Additional films which contributed to stereotypes of Asian American woman: The World of Suzie Wong Asian American Men: Sixteen Candles with the charter of Long Duc Dong



Public Input�2020 Ethnic Studies Model Curriculum � Korean American Center � tk@KoreanAmericanCenter.org Page 2 of 3



Chapter of Model

Curriculum Unit 4 My

Stereotypes Page 14 487

Unit 3 Page 21, Line

805

Unit 3 Page 30

Unit 6 page 40



Your Name and Affiliation



Comment (include page and line numbers where applicable)

Page 14 487 Additional films which contributed to negative stereotypes of Asian American woman: The World of Suzie Wong Asian American Men: Sixteen Candles with the charter of Long Duc Dong Page 21, Line 805 Students will explore Korean Americans early pioneers, such as Dosan Ahn Chang Ho and freedom fighters who came to the United States during Japanese colonization of Korea.

While Japanese-Americans were wrongfully interned by the United Government, Imperial Japan kidnapped Korean girls as sex slaves, used Koreans as forced laborers, forced Korean boys and men to serve in the Japanese Imperial Army, and used Korean prisoners as human guinea pigs in medical experiments.

Page 30, Line 1194 Korean Americans. California has one of the largest populations of Koreans outside of Korea. Los Angeles County and Orange County are #1 and #2 for the largest Korean population in the United States. Page 40, Line 1630 Students will explore the reasons first mass immigration of Korean immigrants to Hawaii in 1903. Students will use critical reasoning skills to analyze the effects of policies to separate the various Asian communities by plantation owners.



Public Input�2020 Ethnic Studies Model Curriculum � Korean American Center � tk@KoreanAmericanCenter.org Page 3 of 3



Chapter of Model

Curriculum Unit 6, Page 40 Line 1642

The US becomes a world power



Your Name and Affiliation



Comment (include page and line numbers where applicable)



Page 40, Line 1642 Students will examine the LA Riots of 1992, which impacted the Korean American. Students will examine the situations leading up to the riots and analyze the cause and effects. Students will explore how the model minority myth played into the devastation that occurred in the Korean American community. Students will use critical reasoning skills to understand how the events affected the realities of Korean Americans in the political process. Page 95, 3866 Students will understand the connection between American Imperialist ambitions in the Philippines and how that impacted Korea's colonization of Japan. Which in turn impacted immigration to the United States. In 1905, there were nearly 10,000 Koreans.

Students will analyze the affects of Manifest Destiny and how it impacted Asia, particularly Korea. In 1884 when the first US Missionaries arrived and became the model of success of Manifest Destiny.



California Department of Education, June 2019



"
2765,8-7-19 Stokols.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"From: Niki Stokols Sent: Tuesday, August 6, 2019 5:21 PM To: Ethnic Studies Subject: California Ethnic Curriculum

As a member of Hadassah, The Women's Zionist Organization of America, I am deeply disturbed by the model curriculum currently being reviewed by The State of California, which openly promotes hateful boycotts against Israel and omits antisemitism as a form of bigotry. I am alarmed that an educational effort meant to teach students about marginalized communities includes no lessons about Jews as an ethnic minority (approximately 1.4 of the US population) and the frequent target of racism (a target of 58% of all religion-based hate crimes in America). I am appalled by the inclusion in the Glossary of hateful misrepresentations of Israel in the definition of the Boycott, Divestment, and Sanctions (BDS) movement. which claims Palestinians are living under apartheid conditions. The definition of apartheid, based on South Africa, ""is a policy or system of segregation or discrimination on grounds of race."" Twenty percent of Israelis are nonJewish, have full rights, and are represented throughout society. There have been Israeli Arabs members of the Knesset, Israel's governing body, ever since the first Knesset elections in 1949 (there are 12 current members). There are Israeli Arab members of the Supreme Court (Salim Joubran and George Kara) and the lower courts. Israeli Arab doctors hold high level positions of leadership in Israeli hospitals; Dr. Shaden Salameh, just one of many Arab Israeli doctors at Hadassah, is head of the emergency room, Dr. Khoury Amal, is the director of the orthopeadic trauma unit, and Dr. Ahmed Eid is head of surgery, to name a few. Major Alaa Waheeb serves in the Israeli Defense Force, fought alongside and trains Jewish soldiers. These are but a few examples, but clearly such integration into Israeli society would not be possible in an apartheid state.

`The implementation of Ethnic Studies presents an opportunity for teachers to enable students to develop a deep appreciation for cultural diversity and inclusion, and aids in the eradication of bigotry, hate, and racism.' Despite this stated goal, the curriculum does not feature a single lesson about the Jewish community, mentioning Jews only in passing.



Chapter of Model

Curriculum Glossary



Your Name and Affiliation



Comment (include page and line numbers where applicable)



Niki Stokols Hadassah, The Women's Zionist Organization of America, HWZOA



Glossary � includes a definition of the Boycott, Divestment, and Sanctions (BDS) Movement against Israel. It claims the purpose of BDS is to ""establish freedom for Palestinians living under apartheid conditions."" I am alarmed by the inclusion of hateful misrepresentations of Israel in the definition of the BDS movement. The definition of apartheid, based on South Africa, ""is a policy or system of segregation or discrimination on grounds of race."" Twenty percent of Israelis are non-Jewish, have full rights, and are represented throughout society. There have been Israeli Arab members of the Knesset, Israel's governing body, ever since the first Knesset elections in 1949 (there are 12 current members). There are Israeli Arab members of the Supreme Court (Salim Joubran and George Kara) and the lower courts. Israeli Arab doctors hold high level positions of leadership in Israeli hospitals; Dr. Shaden Salameh, just one of many Arab Israeli doctors at Hadassah, is head of the emergency room, Dr. Khoury Amal, is the director of the orthopeadic trauma unit, and Dr. Ahmed Eid is head of surgery, to name a few. Major Alaa Waheeb serves in the Israeli Defense Force, fought alongside and trains Jewish soldiers. These are but a few examples, but clearly such integration into Israeli society would not be possible in an apartheid state.



Sample Lesson Plans

Sample Lesson Plans

Sample Lesson Plans

Sample Lesson Plans



It then parrots more BDS talking points while offering no critical perspectives about this campaign of hate, which seeks to end Israel's existence. Page 234 � Encourage teachers to highlight BDS and a pro-BDS group called Direct Action for Palestine, but no voices critical of their perspectives. Page 234 � Promotes a false equivalence between Israel's efforts to stop terrorists from entering communities to murder innocent people, and U.S. policies on the border with Mexico. Page 237 � Uses unclear language that implies ""Israel-Palestine"" as a whole is an Arab country. Page 242 � Frames the Palestinian narrative of the 1948 War as fact, with no alternative perspectives.



Chapter of Model

Curriculum Sample

Lesson Plans Introduction

General



Your Name and Affiliation



Comment (include page and line numbers where applicable)



Page 256, 264-269 � Encourages teachers to use a poem featuring harsh criticism of Israel, but no content offering a positive perspective about Israel or criticism of Palestinian leaders.

Introduction � States that ""The implementation of Ethnic Studies presents an opportunity for teachers to...enable students to develop a deep appreciation for cultural diversity and inclusion, and aids in the eradication of bigotry, hate, and racism."" Despite this stated goal, the curriculum does not feature a single lesson about the Jewish community, mentioning Jews only in passing. With antisemitism rising and ignorance about the Jewish people still a major problem in our society, the exclusion of Jews from this curriculum is deeply disappointing.

As a member of Hadassah, I am deeply disturbed by the model curriculum currently being reviewed by The State of California, which openly promotes hateful boycotts against Israel and omits antisemitism as a form of bigotry. I am appalled that an educational effort meant to teach students about marginalized communities includes no lessons about Jews as an ethnic minority (approximately 1.4% of the US population) yet a target of 58% of all religionbased hate crimes in the United States. As a parent and a California resident, I would hope to see the State of California teaching inclusion and tolerance, rather than BDS, which promotes hate and division.



Niki Stokols



Immediate Past Advocacy Chair Hadassah Southern California

HADASSAH The Women's Zionist Organization of America Amelia & Mark Taper Hadassah House



"
2529,8-12-19 Rose.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"From: Dey Rose Sent: Saturday, August 10, 2019 1:58 PM To: Ethnic Studies Cc: Tony Thurmond Subject: Education and the ESMC

To Whom it May Concern on the Instructional Quality Commission of the California Board of Education:

I have been an educator for the past forty years, teaching students from pre-school to university level. I have done this work all my life because I know the power and importance of education and teaching, in order to support individuals to gain the ability to seek information, and understand what they find.

I know the importance of making sure courses that are taught are unbiased, especially in a time where ""alternative facts"" are considered a real thing.

That is why I am particularly upset by the proposed Ethnic Studies Model Curriculum, which is unfortunately imbalanced and thus intrinsically flawed.

While I absolutely support the teaching of ethnic studies classes, I urge you to make the necessary revisions to this curriculum to keep it from encouraging anti-semitism, even if that is not its intent. A curriculum that fails to mention the American Jewish experience or antisemitism, and singles out Israel for criticism, will allow for the institutionalization of teaching antisemitic stereotypes in our public schools. This is indefensible in light of rising antisemitism in America, and especially on college campuses.

There have been specific recommendations made by the California Legislative Jewish Caucus letter, Stand With Us, Jimena, Amcha, and others towards improving the balance and removing the bias.

Some examples of the problems with the ESMC include:

� ESMC focuses heavily on power structures and forms of oppression including white supremacy, sexism, classism, Islamophobia, transphobia -- but excludes anti-Semitism.

� Anti-Jewish bias receives only a passing mention during a discussion of intersectionality in a proposed course on Pacific Islander studies. The ESMC omits any mention of antisemitism though there are three times as many hate crimes in America against Jews as against Muslims. The most recent FBI statistics record 938 antisemitic incidents and 273 Islamophobic incidents. Hate crimes against Jews rose by 37% according to 2018 FBI statistics, accounting for over half of religious-based hate crimes in the United States. Though a great deal of curriculum is devoted to Islamophobia, there is absolutely none devoted to anti-Semitism.

� A 22-page glossary and bibliography has entries for Islamophobia and racism, but none for antiSemitism.

� Despite the significant contributions of Jews to California's history, politics, culture, and government � and our community's longstanding struggle against hatred and discrimination � the ESMC erases the Jewish experience in America, which is poor teaching and inconsistent with the purpose of ethnic studies to promote inclusion and tolerance.



In my teaching experience, I have worked with many diverse communities. I have taught children and young adults who have never met a Jewish person before, and who had no idea what being Jewish meant. For these young people to be taught a false representation of Judaism can only harm each and every one of them, ultimately, as well as creating greater global divisions.

As educators, our work is to help people find a way to communicate, with open hearts and minds. That is why a fair and balanced ethnic studies curriculum is essential. I urge you to make major revisions or a significant rewrite of the Ethnic Studies Model Curriculum to address these concerns. Please do not use your positions to create further ignorance and deeper rifts in our society.

Thank you, Dey Rose

""The future belongs to young people with an education and the imagination to create.""

�President Barack Obama

Dey E. Rose, Ph.D. Professional Development for Classroom Leadership, Curriculum Development, Equity, and Arts Integration in Education



"
6562,9-6-20 sepi888.pdf,Second Field Review (Sept 2020),1,1.1098293478034968e-05,"-----Original Message----From: sepi888 Sent: Sunday, September 6, 2020 1:52 PM To: Ethnic Studies <EthnicStudies@cde.ca.gov> Subject: [EXTERNAL] Anti Semitic ethnic studies

AB 331 invites hateful antisemitic rhetoric, which should NEVER be allowed. There is no reason why the Jews need to be attacked. Togetherness and love is key and attacking or belittling any group is never okay. It is unfathomable that such curriculum would not only be allowed but endorsed by the government in the United States. Many American citizens would be appalled by being forced to have their children learn to hate a particular race. It is UNACCEPTABLE!



"
4197,8-14-19 Sharabi-Levine.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"Dear Instructional Quality Commission of the California Board of Education,

I am very concerned and upset by the flawed proposed Ethnic Studies Model Curriculum. I support the idea of teaching an ethnic studies class, but request you to make major revisions or a significant rewrite of the Ethnic Studies Model Curriculum, consistent with the recommendations from the California Legislative Jewish Caucus letter, Stand With Us, Jimena, Amcha and others.

My son who is a student at UC San Diego recently experienced anti-semitism when someone scratched a swastika into his car. As an educator at Stanford, I have also experienced swastikas being drawn multiple times.

We have relatives in San Diego who were members of the community that experienced the awful shooting at a synagogue earlier this year. They knew some of the people who passed away very well.

The main issue I have with the Ethnic Studies Model Curriculum is that Anti-Semitism has been excluded from hate crimes/discrimination, even though half of religious-based hate crimes in the United States are against Jews. My family has lived in the United States for over two decades now, and we have had some experiences with Anti-Semtisim throughout. However, we have noticed a large uptick in Anti-Semitic sentiments and crime throughout the country recently. To exclude Anti-Semitism from hate crimes/discrimination is to ignore the very active sentiments that led to the Pittburgh and San Diego synagogue shootings.

It is also quite shocking to me that this curriculum intends to elaborate on the BDS movement, which seeks to erase the state of Israel, without any balancing perspective. The conflict in the Middle East is historically complicated. By only offering one side of the conflict, you are painting it to be ""black and white"", when it could not be more ""grey"". This is an incredibly dangerous kind of simplification. It leads to uninformed beliefs of a conflict most know almost nothing about historically.

I urge you to make major revisions or a significant rewrite of the Ethnic Studies Model Curriculum to address these concerns.

Thank you, Yifat Sharabi-Levine



"
891,1-21-21 Eisenberg and Hirschhaut.pdf,Third Field Review (Dec 2020 - Jan 2021),1,9.05925371034926e-06,"January 21, 2021

Dear Dr. Darling-Hammond, Members of the State Board of Education, and Superintendent Thurmond:

The American Jewish Committee (AJC) has worked for over a century to enhance the well-being of the Jewish people and advance democratic values in the United States and around the world. We believe that the ESMC can be a crucial platform for educating students to embrace differences, build bridges, and fight bigotry � promoting human rights and uniting our country through shared democratic values.

We appreciate the opportunity to provide additional specific comments on this draft. We thank the California Department of Education and the Instructional Quality Commission for recommendations that have led to improvements now reflected in the Ethnic Studies Model Curriculum (ESMC) Third Field Review. However, we request that you retain and even strengthen several of the changes that have been made, particularly the following:

� We encourage you to retain the inclusive approach to ethnic studies, represented by the addition of new lessons that better reflect California's rich ethnic diversity -- Sikhs, Hindus, Koreans, Armenians, and the diversity of Jewish Americans.

� We encourage you to retain the additional language that will help ensure a more balanced approach to Ethnic Studies and add additional guidance for teachers to safeguard against narrow political indoctrination in the classroom. (As noted in the review below, we further urge that the additional balance language be added to the Guiding Values throughout the curriculum, and that all sample lessons be aligned with the Eight Outcomes.)

� We appreciate the inclusion of lesson materials on antisemitism in Ethnic Studies, particularly the inclusion of Lesson 40 and the International Holocaust Remembrance Alliance (IHRA) definition of antisemitism. The IHRA definition is the most widely endorsed definition, used by numerous governments here and abroad, diverse religious groups including major Jewish organizations and the Global Council of Imams, and educational institutions worldwide. (As noted in the review below, we further urge that lesson 40 on ""Antisemitism and Jewish Middle Eastern Americans"" be added to the Asian American Studies Section to ensure that the ESMC complies with State Board of Education requirements and does not promote bias or discrimination; and that the link to the IHRA definition be restored.)

The enclosed review offers specific suggestions to help ensure an inclusive and balanced curriculum and to address concerns about particular material. We also would appreciate your ongoing efforts to remove problematic content that fosters demonization and discrimination and promotes violent resistance.

1



Thank you for considering these suggestions to strengthen and improve the ESMC so that the curriculum will better address issues of racial injustice and strengthen our democracy. K-12 students across California deserve an opportunity to honestly confront racism in all its forms, build bridges of interethnic understanding, and see themselves in the curriculum. Sincerely, Rabbi Serena Eisenberg, Northern California AJC Director Richard Hirschhaut, Los Angeles AJC Director

2



AJC Third Field Review Specific Line by Line Requests:

Preface

Page 7, lines 127-130: replace these lines with the following to ensure historical accuracy (changes are underscored):

""Include information on the ethnic studies movement, specifically the Third World Liberation Front (TWLF), including its significance in the establishment of ethnic studies as a discipline and its work in promoting the positive values of diversity and inclusion within higher education, alongside some negative currents such as antisemitism and celebrating militant Communist revolutionaries.""

Chapter 1

Page 11, line 229, begin the paragraph with this guidance from the Los Angeles ""Elements of a Balanced Curriculum,"" with a footnote reference: ""At the college and university level, Ethnic Studies and related courses are sometimes taught from a specific political point of view. In K-12 education it is imperative that students are exposed to multiple perspectives, taught to think critically and form their own opinions."" Source: ""2017 the Los Angeles Unified School District (LAUSD) Multidisciplinary Ethnic Studies Advisory Team, ""Elements of a Balanced Curriculum,"" https://achieve.lausd.net/cms/lib/CA01000043/Centricity/Domain/226/Balance%202017.pdf

Page 12, line 244: remove ""and Principles""

Chapter 2

Page 5, footnote 1: change to this working link: Footnote 1 ""2017 the Los Angeles Unified School District (LAUSD) Multidisciplinary Ethnic Studies Advisory Team, ""Elements of a Balanced Curriculum,"" https://achieve.lausd.net/cms/lib/CA01000043/Centricity/Domain/226/Balance%202017.pdf

Chapter 3

Page 17, line 395-396: remove: ""critical race theory"" Critical race theory pedagogy is problematic when applied in K-12 classrooms. For example, this draft curriculum suggests that teachers sort students by race and give students different race-based assignments (e.g. Sammy Lee lesson). Critical race theory, which promotes race-based labeling, would have teachers stereotype students based on their race which is not consistent with the rules governing

3



the State Board of Education and California's teachers. These practices have the real potential of causing harmful, oppositional dynamics at school such as bullying and discrimination.

Page 19, line 455: change ""Arab Americans"" to ""Middle Eastern Americans""

Page 23, line 545: change ""Arab Americans"" to ""Middle Eastern Americans""

Page 30, line 747: change ""Arab Americans"" to ""Middle Eastern Americans""

Appendix A

Page 6, lines 138-139: change to ""As a reminder, the values are:"" (Remove ""and principles"")

Page 7, line 158: add the following as a new paragraph at the end of the 6th guiding value (and add elsewhere each other place the guiding values appear in the curriculum):

""7. In K�12 education it is imperative that students are exposed to multiple perspectives, taught to think critically, and form their own opinions. Curriculum, resources, and materials should include a balance of topics, authors, and concepts, including primary and secondary sources that represent multiple, and sometimes opposing, points of view or perspectives. Students will actively seek to understand, analyze, and articulate multiple points of view, perspectives and cultures. The instruction, material, or discussion must be appropriate to the age and maturity level of the students, and be a fair, balanced, and humanizing academic presentation of various points of view consistent with accepted standards of professional responsibility, rather than advocacy, personal opinion, bias or partisanship."" [Adapted from the LA Balanced Curriculum Guidelines at https://achieve.lausd.net/cms/lib/CA01000043/Centricity/Domain/226/Balance%202017.pdf.]

Page 7, Add immediately after line 169: All sample lessons should include alignments to Chapter 1's ""Eight Outcomes of K-12 Ethnic Studies Teaching,"" consistent with best pedagogical practices that aligned with specific learning outcomes.

Page 16, Line 380: Add immediately after ""Liberation movements."" ""In addition to being celebrated for making higher education more inclusive of marginalized communities, TWLF has also been criticized for various reasons for promoting destructive influences such as antisemitism and celebrating militant Communist revolutionaries.""

Page 40, line 901: add the following in the same sentence immediately after ""historical figure"" ""historical figure of the student's choosing, from this list or elsewhere, to research. Figures who foster

4



demonization of other ethnic groups or promote violent resistance are not appropriate role models for combating racism and bigotry.""

Pages 43-51, lines 977-1137, and pages 314-315, lines 6546-6575: In general, we urge you to remove historical figures who foster demonization and discrimination against other ethnic groups, and those who promote violent resistance. Among those we encourage you to consider removing are Assata Shakur, Lolita Lebr�n, Oscar Lopez Rivera, Eddy Zheng, Linda Sarsour, and Helen Thomas.

Page 53, line 1169: change the following immediately from: ""Students will learn about redlining, racial covenants, and better understand why African Americans, as well as other people of color, have historically settled in certain neighborhoods, whether voluntarily or involuntarily."" To the following: ""Students will also learn about redlining, racial covenants, and better understand why African Americans, as well as other racial and religious minorities, have faced housing discrimination and have historically settled in certain neighborhoods, whether voluntarily or involuntarily.""

See for example: https://depts.washington.edu/civilr/covenants_report.htm

Page 96, add a new line immediately before line 2160: ""`Color Lines:' Changing and Broadening Perspectives on Racism.""

This topic addresses how individual and societal theories about race change over time. For example, W.E.B. Du Bois, widely known for his `color line' theory -- that a race's problems are attributed only to skin color prejudice � reconsidered and broadened his understanding of ""color line"" divisions by 1949 after visiting post-Holocaust Poland:

""I have seen something of human upheaval in this world; the scream and shot of race riots in Atlanta, the marching of the Ku Klux Klan, the threat of courts and police; the neglect and destruction of human habitation, but nothing in my wildest imagination was equal to what I saw in Warsaw in 1949. I would have said before seeing it that it was impossible...to treat fellow human beings as Warsaw had been treated...complete, planned, and utter destruction...the total of the dead...

""The result...was a more and complete understanding of the Negro problem. In the first place, the problem of slavery, emancipation and caste in the United States in my mind was no longer a separate and unique thing as I had so long conceived it. It was not even a matter solely of color and physical and racial characteristics, which was particularly a hard thing for me to learn, since for a lifetime the color line had been a real and efficient cause of misery...

5



""The race problem in which I was interested cut across lines of color and physique and belief and status and was a matter of cultural patterns, perverted teaching and human hate and prejudice, which reached all sorts of people and caused endless evil to all men. So that the ghetto of Warsaw helped me to emerge from a certain social provincialism into a broader conception of what the fight against race segregation, religious discrimination and the oppression by wealth had to become if civilization was going to triumph and broaden into the world...

""It cannot be too often told: of Poland's thirty-two million inhabitants, six and a half million died...All this should lead both these groups [Negros and Jews] and others to reassess and reformulate the problems of our day, whose solution belongs to no group...This is a present problem of all Americans and becomes the pressing problem of the civilized world."" -- ""Du Bois on Religion"" edited by Phil Zuckerman, ""The Negro and the Warsaw Ghetto"" speech given in New York City, 1952 (pages 197-199).

Pages 485-493, lines 10214-10382: Move Lesson #40 ""Antisemitism and Jewish Middle-Eastern Americans"" to the ""Asian American and Pacific Islander Studies"" section immediately after Lesson 35. This will pair the lesson on South Asian Americans and antisemitism with the lessons on South Asian Americans and Islamophobia and xenophobia, consistent with the ""thematic approach to ethnic studies,"" and reinforce the ESMC's emphasis on the ""importance of identifying shared struggles."" (ESMC Preface and Chapter 3). It will also bring the ESMC into closer compliance with the State's requirements to treat peoples with proportionality and balance, and avoid bias and discrimination, as California and Federal laws and the State Board of Education's Social Content Standards and ESMC Guidelines require.

Page 491, line 10375: Add this link immediately after ""facilities"": https://www.holocaustremembrance.com/working-definition-antisemitism. The California State Board of Education's Ethnic Studies Model Curriculum Guidelines require that the ESMC ""include access to ...primary source documents."" This link will allow teachers to access the primary source. As an additional resource about the Jewish community's lived experience of discrimination and antisemitism, see AJC: The State of Antisemitism in America 2020.

Appendix B

Pages 4- 13, lines 70-278. We request that the State Board of Education review with its legal counsel the �Affirmations, Chants, and Energizers � which have students, among other things, reciting the names of Aztec and Mayan gods. (For example, Tezkatlipoka, Tezkatlipoka (line 188); Quetzalkoatl, Quetzalcoatl (line 195); Hunab Ku (line 232); Huitzilopochtli, huitzilopochtli (line 207); and Xipe Totek (line 219), who was an Aztec god celebrated at a festival of human sacrifices.)

6



The CDE should determine whether these violate (i) the First Amendment of the U.S. Constitution which does not allow governments to encourage or promote religion, and (ii) California law including, but not limited to, Education Code Sections 51500, 51501 and 60044 and the California Constitution (Article I, Section 4; Article IX, Section 8 and Article XVI, Section 5). If they do, remove this content and all references to it in the curriculum and instructional materials and resources allowed for use in California classrooms.

7



"
43,11-16-20 Tauber.pdf,"Comments Received After September 30, 2020",1,7.981749489180817e-06,"From: Jonah Tauber Sent: Friday, November 13, 2020 5:16 PM To: Ethnic Studies <EthnicStudies@cde.ca.gov>; [emails redacted] Cc: [emails redacted] Subject: [EXTERNAL] Public comment on Ethnic Studies curriculum

Hello Instructional Quality Commission,

My name is Jonah Tauber and I am a Jewish student and educator at UC Berkeley and I am writing in support of the demands of the Arab American Resource Center about making sure the principles of Ethnic Studies are applied to Arab American Studies within California curriculum, specifically when it comes to material on Palestine. Arab American Studies must be included within Asian American Studies, it must be given significant space in the curriculum, and Palestine must be taught about. To ensure this, there must be a return to the lesson plan originally submitted to the California Department of Education.

I have studied as well as taught and developed curriculum for courses on both Palestine and antisemitism at my university and at my synagogue, and with this background I find the proposed revisions to the original Arab American Studies appalling. Palestine is an area that has a very important place in global politics and is a place from which many Californian students hail from. Their history must be taught without minced words. Adhering to the anti-racist and decolonial principles of Ethnic Studies is necessary to accomplish this. The proposed changes will do the exact opposite by erasing Palestinian history and reality and promoting a definition of antisemitism (the one put forward by the IHRA) that is not only inaccurate, but goes so far as to conflate opposition to the colonial ideology and project of Zionism with antisemitism. By that horrific definition, I, a descendant of Holocaust victims and survivors and educator about antisemitism, am myself an antisemite! I hope you understand how deeply offensive and hurtful that is. These subjects are hugely important, and must be taught correctly and in a justice-oriented way.

Additionally, I fully support ensuring that Pacific Islander Studies content includes coverage of the complexity and diversity of the Pacific alongside critiques of power and systems of oppression as seen in the work of Epeli Hau'ofa, Lisa Kahaleole Hall, and Kerri Ann Borja's UN Testimony on the Question of Guam. I hope you will all approve line edits 384, 385, 386, 387, and 388, which serve to outline the inclusion of vital PI studies resources, discussion questions, and distinctions between the regions of Oceania into the ESMC.

Sincerely, Jonah Tauber



"
5672,8-15-19 Halbur .pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"Public Input Template�2020 Ethnic Studies Model Curriculum May 2019 Draft

(Download and use to provide specific recommendations)



Include the chapter of the model curriculum, the page number, and line number(s) to ensure that the California Department of Education and Instructional Quality Commission can reference the content of the document when reviewing your comments. Please email this document as a Word document to ethnicstudies@cde.ca.gov. You may contact Kenneth McDonald, Education Programs Consultant, at kmcdonal@cde.ca.gov with any questions regarding this template or the public input process.



Chapter of Model

Curriculum

Glossary

Outline/Overview



Your Name and Affiliation

Linda Halbur � concerned citizen Linda Halbur � concerned citizen



Comment (include page and line numbers where applicable)

Pg. 2, Line 44-46: The glossary entry for Capitalism should be defined without a negative bias. The discussion of what is good or bad about it should be done elsewhere. Pg. 20, Line 449: Capitalism should not be treated as a form of oppression. A discussion of what capitalism is and its pros and cons is appropriate, but capitalism should not be demonized. The curriculum should certainly not bash capitalism without a balanced discussion of what the alternatives are, and the pros and cons of those systems. Many of the things in our current economic system that disadvantage ethnic minorities are things like occupational licensing laws, which interfere with ""free trade"" and therefore are not a valid piece of capitalism.



California Department of Education, June 2019



"
6305,9-30-20 Feinstein.pdf,Second Field Review (Sept 2020),1,1.1098293478034968e-05,"From: Jean Feinstein Sent: Wednesday, September 30, 2020 3:35 PM To: Ethnic Studies <EthnicStudies@cde.ca.gov> Subject: [EXTERNAL] ESMC curriculum of 7/2020

It is exceptionally important that the textbooks you propose to put out be devoid of any anti-Semitic and anti-Israel content. You must remember who your audience is: children. What you propose to include in the upcoming versions of the curriculum will impact the lives of the readers, our children, in a very negative way. I can say that as an educator at the elementary, middle school , and university level for over 36 years. I am also a writer of a textbook. I know the same version was used throughout the country. I am aware that textbooks in the past developed under the auspices of the Catholic Church for use in parochial demeaned Jews. That was corrected over time, but those early versions of the text impacted the children not only in their youth but into their later years. I ask you to review all components of the ESMC curriculum of 7/2020, making certain that there are no elements of antiSemitism and anti-Israel content.



"
1957,8-9-19 Oren.pdf,First Field Review (June - August 2019),1,1.794409783913651e-05,"Chapter of Model

Curriculum

General



Name and Affiliation Comment



Ella Plotkin-Oren Student at El Cerrito High School in El Cerrito, CA



I'm scared for what will happen if the curriculum, as it is now, were to be taught in public high schools all across California. First off, as an ethnic studies course, it disregards Jews as part of an ethnic minority. Throughout the curriculum, the topic of racism Islamophobia are continuously brought up, as it should be because they are very serious terrible things. However, the word anti-semitism is brought up less than ten times. This is very concerning , as it is a form of racism that isn't being acknowledged in an ""ethnic studies"" course. It is also very concerning to me that blatantly anti-semetic groups, BDS, are being promoted. This is a problem because if this curriculum is taught in public high schools of California, students will be taught with an underlying message that anit-semitism is not a form of racism, and therefore okay. Lastly, this curriculum fails to shine light on the thousands of years of Jewish history and persecution, and disregards the fact that the Jewsih people are indigious to the Land of Israel. Please consider all of the harm this curriculum could bring.



"
