file_name,folder_name,submissions,weight,text,date,year_month,month
10-26-20 Parker.pdf,"Comments Received After September 30, 2020",1,7.981749489180817e-06,"From: Ruth Parker
Sent: Friday, October 23, 2020 1:17 PM
To: [list of other recipients redacted]; Ethnic Studies
Subject: [EXTERNAL] Fw: The Dangers of Politicized History - Frontpagemag
SFSU President Lynn Mahoney, ""known for her scholarship on race and gender"" was awarded for being
one of the most influential women of 2020. She has said, ""Diversity is easy but inclusion is
hard."" Clearly, she is a product of WOKE history which finds fake history easy, but serious academic
study of the historical record to be too difficult for her to manage.
----- Forwarded Message ----From: Barbara Levy
To: [emails redacted]
Sent: Friday, October 23, 2020, 11:32:53 AM PDT
Subject: The Dangers of Politicized History - Frontpagemag

uruhttps://www.frontpagemag.com/fpm/2020/10/dangers-politicized-history-brucethornton/#.X5MhPzD7jJg.gmail

Very interesting

",2020-10-26,2020-10,2020-10
10-1-20 Jesman.pdf,"Comments Received After September 30, 2020",1,7.981749489180817e-06,"From: Edward W Jesman
Sent: Thursday, October 1, 2020 1:17 AM
To: Caria Tomczykowska
Cc: Gordon Black; Ethnic Studies; Pacnorthcal Prokopczuk
Subject: [EXTERNAL] Re: Comment on draft, Model Curriculum for Ethnic Studies

Hi Gordon,
The letter looks fine. Please sign my name under the letter. The only change: PAC of So. Cal. is not a division of
PAC. We are an independent entity incorporated in California. May I also sign as President of Polish American
Strategic Initiative, Inc.?
Thanks,
Edward W. Jesman, President of Polish American Congress of Southern California, Inc.
and President of Polish American Strategic Initiative, Inc.

On Sep 30, 2020, at 8:58 PM, Caria Tomczykowska wrote:

Looks great!
Caria Tomczykowska
The Compleat Planner

On Wed, Sep 30, 2020, 20:09 Gordon Black wrote:
To:

Instructional Quality Commission
California department of Education
Curriculum Frameworks and Instructional Resources Division

From:

Gordon Black, Office for Ethnic Relations
Polish American Congress, Northern California Division

Cc:

Dr. Andrzej Prokopczuk, President, Polish American Congress, Northern California
Mr. Edward Jesman, President, Polish American Congress, Southern California

Subject:

Review comments for second draft of Model Curriculum for Ethnic Studies

The Office for Ethnic Relations in the Polish American Congress, Northern California Division, in
communication with PAC Southern California Division, submitted the following comment for the first draft of
the California Model Curriculum for Ethnic Studies:
Bill AB-2016, Pupil Instruction in Ethnic Studies, recognizes that there are 93 languages including English
spoken throughout the state, and so, while identifying a core group for particular support, the Model
Curriculum should respect the presence and identities of all the ethnicities.
We are pleased with advances in the second draft, and look forward to further refinements arising from the
second review.
Because of emphasis by The New York Times regarding the first landing of African slaves in America, as
published in its 1619 Project, we anticipate attention to the first documented labor strike in the New World, at
Jamestown, in that same year of 1619. The strike was conducted by Polish craftsmen, who won the right to
vote in the the English colony.
We might consider intersections of that early protest with the 1968 strike at San Francisco State College,
calling for inclusion and dignity, impelling development of Ethnic Studies and its emerging Model
Curriculum.
We offer a thought, motivated by the classroom projects in Appendix C of the proposed Model Curriculum,
particularly the Gallery Walk lesson. Here is an image, a painting by Artur Szyk, from the Polish Pavilion of
the 1939 World's Fair in New York, representing the Jamestown Polish activists.
Might California children, of all our various ethnicities, ask what is being told in this image, and what
connections they might find with their own stories, and with the hopeful goals of Ethnic Studies?

",2020-10-01,2020-10,2020-10
10-26-20 Friedberg.pdf,"Comments Received After September 30, 2020",1,7.981749489180817e-06,"From: Cindy Friedberg
Sent: Saturday, October 24, 2020 11:21 AM
To: Ethnic Studies <EthnicStudies@cde.ca.gov>
Cc: Cindy Friedberg [email redacted]
Subject: [EXTERNAL] ESMC Curriculum Model 2019 draft

I have great concern about the 2020 Ethnic Studies Model Curriculum May 2019
Instructional Quality Commission Draft.
I tried to find a public document to fill out and it was not available.
The new curriculum is anti-Jews and Israel and I find that very offensive and
antisemitic. Children are our future and they should learn about all different
religions and Countries.
This is unconstitutional as it should not matter what race or your religion is, we
are all Americans and equal in our rights.
I object to the ESMC new Curriculum which excludes Jewish people and
Israel.
I live in California zip code 90503 and I am over 18 years old. I

have 2 young grandchildren in Public School in California.
Cynthia Friedberg

",2020-10-26,2020-10,2020-10
10-5-20 Smith Attachment.pdf,"Comments Received After September 30, 2020",1,7.981749489180817e-06,"COMMUNISM
ITS IDEOLOGY, ITS HISTORY,
AND ITS LEGACY
SECOND EDITION

PHOTO CREDITS:
Toshio Sakai/Getty Images, Peter Leibling, Department of Immigration and Multicultural and Indigenous Affairs
(DIMIA)/Australia, Dieter Klar/EPA/Newscom, Rafael Perez/Reuters/Newscom, iStockPhoto.

Communism:
Its Ideology, Its History,
and Its Legacy
second edition

Paul Kengor, Ph.D.
Professor of Political Science
Grove City College
Lee Edwards, Ph.D.
Chairman
Victims of Communism Memorial Foundation
Claire McCaffery Griffin, MA
Claire Griffin Consulting, LLC

Published by
Victims of Communism Memorial Foundation
300 New Jersey Avenue NW, Suite 900, Washington, DC 20001
www.victimsofcommunism.org

Copyright ©2016 Victims of Communism Memorial Foundation

Victims of Communism Memorial Foundation
300 New Jersey Avenue NW, Suite 900
Washington, DC 20001
education@victimsofcommunism.org

ISBN 978-0-692-72056-1

Printed in the United States

Table of Contents
Introduction........................................................................................................................ 7
Karl Marx and His Legacy.............................................................................................. 9
Lenin and the Bolshevik Revolution....................................................................... 27
Stalin and the Soviet Union........................................................................................ 39
Mao and China................................................................................................................. 51
Kim Il-Sung and North Korea.................................................................................... 63
Pol Pot and Cambodia.................................................................................................. 73
Cuba, Castro, and Che.................................................................................................. 85
Germany and the Berlin Wall..................................................................................... 97
America and Vietnam................................................................................................. 117
Captive Nations and the End of the Cold War................................................... 127
Answer Key...................................................................................................................... 141
List of Contributors and Note on Standards..................................................... 145

Table of Contents

©VICTIMS OF COMMUNISM MEMORIAL FOUNDATION

5

Introduction
P R E FA C E F O R T H E C U R R I C U L U M O N C O M M U N I S M
In many ways, the history of the 20th century is the story of communism, starting with
the Bolshevik Revolution of 1917 and ending with the dissolution of the Soviet Union in 1991.
At the high point of their power, communists controlled one-fifth of the world’s population and
influenced the course of events on every continent. And yet, the history of communism is an
untold story.
The horrors of Nazism and the Holocaust are taught and highlighted in our schools as they
should be. But what of communism? Do students know who Karl Marx, Joseph Stalin, and
Mao Zedong were? Do they know that communism exacted a death toll of 100 million victims,
surpassing that of all the wars of the 20th century? Are they aware there are still five communist
regimes in the world today?
Communism: Its Ideology, Its History, and Its Legacy is a supplementary high school lesson
curricular resource developed by teachers for teachers. It is offered to help fill the knowledge gap
about communism and its enormous impact on world history, past and present.
Written with both social studies and common standards in mind, each of the nine lessons
focuses on key individuals and key events in the story of twentieth century communism. A
background essay presents essential content, while student-centered activities and numerous
assessment options offer a wide variety of opportunities for students to demonstrate their
understanding of the global impact of communism. Each lesson features a C3 section,
Communism’s Contemporary Connection, focusing attention on today’s communist nations.
All lessons draw upon the extensive resources of the on-line Global Museum on Communism
(www.museumoncommunism.org), thus providing multiple opportunities for further research
and study.
It is our hope and our goal that the lessons of Communism: Its Ideology, Its History, and Its Legacy
will inspire and guide student discussion of such issues as: What are the key tenets of MarxismLeninism? Who was responsible for the outbreak of the Cold War—the Soviet Union or the United
States? Why did we fight the Korean War and the Vietnam War? Why did the Berlin Wall fall?
We are pleased to provide teachers like yourself with an educational resource that will help
students—the nation’s future leaders—study and understand a critical part of the history of the
20th century and draw valuable lessons for the future.
