file_name,folder_name,preprocessed_text
9-7-20 Hofacre_embedded.txt,Second Field Review (Sept 2020)_embeddedText,message stephanie hofacre sent sunday september pm ethnic study ethnicstudies subject external new standard ethic good evening doin sure whether actually read praying husband police officer put life line everyday put uniform would even consider putting teaching curriculum blm represents family value officer teach government tell u think teacher teach give political view forced teach nonsense incredibly disappointed parent wife american think stephanie hofacre
9-6-20 Hughes_embedded.txt,Second Field Review (Sept 2020)_embeddedText,sent sunday september pm cfird subject please teach classroom
9-17-20 Kalfus_embedded.txt,Second Field Review (Sept 2020)_embeddedText,anat kalfus sent thursday september pm ethnic study ethnicstudies subject external esmc concern dear decision maker come attention bd organization trying force california department education put antisemitism bd antizionism back curriculum terribly worrying prospect allowing curriculum endorses hateful content horrifying u parent aware done introducing new lesson plan chapter one allowed see public commenting period demand transparency cde stand pledge excluding bd antisemitism school lesson please allow school anat kalfus
9-24-20 Takapuka_embedded.txt,Second Field Review (Sept 2020)_embeddedText,sent wednesday september pm ethnic study ethnicstudies subject external dear educator parent please submit personal inclusion korean american experience ethnic study curriculum cde september
9-28-20 Quirk-Silva_embedded.txt,Second Field Review (Sept 2020)_embeddedText,state capitol po box sacramento ca filalifnrnht committee accountability administrative review communication conveyance governmental organization housing community development rule september sharon assemblymember district select committee chair orange county chronic homelessness aerospace biotechnology affair foster care los angeles county homelessness nonprofit sector student debt tony thurmond state superintendent public instruction california department education n street intendnnt puulic ca dear superintendent thunnond writing letter support inclusion korean american study ethnic study model curriculum education system respectfully request include korean american study asian american study portion curriculum assembly district large growing korean american population seen important korean american community shaping american landscape community activity contribution example discus los angeles civil unrest without including korean american ethnic conflict arose period contributed violence marginalization asian american korean american including sammy lee young oak kim also helped shape country action valor character lee olympic gold america first asian american man kim army officer became first asian american man lead combat battalion field korean war also world war ii hero humanitarian effort also shaped landscape los angeles founding several nonprofit organization help youth battered woman minority korean american history identity taught part curriculum community played major role california country korean american founded willow korean aviation willow ca korean air force view school origin understand korean american community history ethnic identity also understand framework country great nation made minority history also california recognized korean american two resolution lead author acr hangul day passed october recognizes korean american integral part mainstream american society made important contribution californian field finance technology law medicine education sport medium art military government well area district office harbor boulevard suite fullerton ca printed recycled paper state capitol box sacramento ca qlulifnrnht sharon assemblymember district committee accountability administrative review communication conveyance governmental organization housing community development rule select commitiees chair orange county chronic homelessness aerospace biotechnology affair foster care los angeles county homelessness nonprofit sector student debt california also recognized korean american day january passing assembly concurrent resolution citing diligence fortitude enduring belief american dream korean immigrant helped tum emergent area within state california thriving respectable community raising child productive korean american korean american population rich history state california urge include korean american study california ethnic study model curriculum sincerely quv assemblywoman sharon california state assembly district district office harbor boulevard suite fullerton ca printed recycled paper
9-30-20 Taketa_embedded.txt,Second Field Review (Sept 2020)_embeddedText,victoria taketa sent wednesday september pm ethnic study ethnicstudies subject external support inclusion history japanese american chapter ethnic study curriculum california dear superintendent tony thurmond california department education ethnic study curriculum committee california support including history contribution struggle loss civil liberty japanese american included ethnic study curriculum sponsored department critical juncture state nation represent history occurred tell history strength injustice facilitate opportunity move forward accurate information remove educational knowledge intellectual foundation built falsehood myth omission intent provide inclusive history people help shape build state nation economy law live governed curriculum student allow inclusive telling history people help build great state come understand issue face u today day reinforce put value word people importance bill right desire create perfect union thank victoria taketa
9-30-20 copaken _embedded.txt,Second Field Review (Sept 2020)_embeddedText,jennifer copaken sent wednesday september ethnic study subject external curriculum may concern wherever stand political spectrum hope agree education exactly place country need begin repairing prejudice born misinformation language matter detail matter matter child high school saratoga ca last year one sitting classroom waiting biology lesson begin boy classmate entered room finished american history class topic studied ww boy goosestepped room heiled arrived desk desk next child boy witnessing event spoke hey cut child name jewish boy said messing around child name care child name bother scare tone reported somewhere defensive taunting child replied action scare make question whether well educated believed good studying history education learning fact timeline army gesture without context without understanding deep root antisemitusm without understanding power structure threatening language action still exist boy perpetuate kind behavior cause great harm american please implore make meaningful immediate adjustment california curriculum follows inclusion meaningful definition antisemitism return derogatory language jew israeli israel guardrail place keep language classroom future addition sample lesson reflecting diversity jewish american including jewish american middle east north africa jew color commit complete transparency developing curriculum thank hope jennifer copaken
9-7-20 Ghanooni_embedded.txt,Second Field Review (Sept 2020)_embeddedText,eliza ghanooni sent sunday september pm ethnic study ethnicstudies subject external ab ab invite hateful antisemitic rhetoric never allowed reason jew need attacked order end discrimination minority fact extremely hypocritical literally inviting lawsuit state california various organization fight discrimination daily unfathomable curriculum would allowed endorsed state government united state many american citizen would appalled forced child learn hate particular race unacceptable thanks eliza ghanooni certified specialist bankruptcy law ghanooni law firm address redacted phone redacted fax redacted email redacted
9-1-20 Nescio_embedded.txt,Second Field Review (Sept 2020)_embeddedText,nomen nescio sent tuesday september pm ethnic study subject external blm blm political organization ethnic study parent revolt
9-11-20 Group Letter Comment Bullets_embedded.txt,Second Field Review (Sept 2020)_embeddedText,california department education received submission contained bullet identical comment may posted separately omri sent thursday september pm ethnic study subject external ethnic study model curriculum comment hi name omri live west hill ca talking point issue transparency fully transparency expected supposed given curriculum development implementation unfortunately felt breech communicative relationship sprung decision announcement additional chapter announced hour prior iqc meeting august public commenting period commences september meant give community opportunity provide feedback issue curriculum prior final round revision however given supplemental content time hidden factor community uneasiness intention behind worried chapter source bd problematic citation many citation curriculum source promote author raise concern teacher find use source supplemental content american jew chapter compare american jew irish american teach jewish american become privileged ethnicity terrifying jew due rise antisemitism last year jewish american compared white supremacist blame jew racial injustice america jew never stopped discriminated hated course target several violent deathly attack curriculum whose goal educate minority struggle would fact opposite contributing misunderstanding jewish american thus fueling targeted hatred experience call action urge understand power consequence decision removing citation include sentiment rewriting chapter jewish american reflect accurate inclusive jewish narrative ensure addition curriculum remain free discriminatory content antisemitic rhetoric including restricted mention bd thank
9-30-20 Mathis_embedded.txt,Second Field Review (Sept 2020)_embeddedText,mathis sent tuesday september pm ethnic study ethnicstudies subject external anti semitic content ethnic study curriculum stand draft curriculum ethnic study anti semitic content included arab study portion wrong jew people jewish heritage worry education public school would ask content arab culture asia section removed back initial draft recent version respectfully melinda mathis
9-24-20 Rousso_embedded.txt,Second Field Review (Sept 2020)_embeddedText,nora rousso sent wednesday september pm ethnic study ethnicstudies subject external dangerous narrative california ethnic study curriculum please dear iqc happens promote curriculum want please delete last minute proposed sample lesson plan arab american experience youtube shuts livestream u college event honoring palestinian hijacker youtube shuts livestream u college event honoring palestinian h san francisco state state university webinar featuring pflp terrorist leila khaled removed minute thank jackel
9-30-20 Levy_embedded.txt,Second Field Review (Sept 2020)_embeddedText,ralph levy sent wednesday september pm ethnic study ethnicstudies subject external esmc draft may concern ethnic study required course include jewish american recognize diversity community including ashkenazi sephardic mizrachi jew jew color additionally lesson plan arab american also refer jewish american og middle eastern north africn mena descent barbara levy la jolla ca
